DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA
19-Dec-19,Beirut (BEY),Abu Dhabi (AUH),EY538,3:20,2:00 PM,2:06 PM,7:35 PM
19-Dec-19,Abu Dhabi (AUH),Beirut (BEY),EY535,3:49,9:50 AM,10:27 AM,12:30 PM
19-Dec-19,Thiruvananthapuram (TRV),Abu Dhabi (AUH),EY273,3:38,4:45 AM,4:52 AM,7:35 AM
18-Dec-19,Abu Dhabi (AUH),Thiruvananthapuram (TRV),EY272,3:43,10:05 PM,10:27 PM,3:40 AM
18-Dec-19,Jeddah (JED),Abu Dhabi (AUH),EY312,2:08,5:00 PM,5:06 PM,8:30 PM
18-Dec-19,Abu Dhabi (AUH),Jeddah (JED),EY311,2:40,1:20 PM,1:37 PM,3:30 PM
18-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY229,3:44,8:55 AM,9:18 AM,11:35 AM
18-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY228,2:53,2:55 AM,3:22 AM,7:50 AM
17-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY223,3:29,9:05 PM,9:13 PM,11:50 PM
17-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY224,2:47,2:20 PM,2:28 PM,7:30 PM
17-Dec-19,Cairo (CAI),Abu Dhabi (AUH),EY650,2:58,6:15 AM,6:15 AM,11:30 AM
17-Dec-19,Abu Dhabi (AUH),Cairo (CAI),EY651,3:35,2:50 AM,3:04 AM,5:10 AM
16-Dec-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:54,8:55 PM,8:55 PM,11:50 PM
16-Dec-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:12,11:20 AM,11:44 AM,4:35 PM
16-Dec-19,Ahmedabad (AMD),Abu Dhabi (AUH),EY253,3:01,7:25 AM,7:55 AM,9:25 AM
16-Dec-19,Abu Dhabi (AUH),Ahmedabad (AMD),EY252,2:12,2:05 AM,2:52 AM,6:35 AM
15-Dec-19,Bengaluru (BLR),Abu Dhabi (AUH),EY237,3:55,8:55 PM,8:57 PM,11:50 PM
15-Dec-19,Abu Dhabi (AUH),Bengaluru (BLR),EY236,3:13,11:20 AM,11:39 AM,4:35 PM
15-Dec-19,Islamabad (ISB),Abu Dhabi (AUH),EY232,3:13,3:40 AM,4:02 AM,6:20 AM
14-Dec-19,Abu Dhabi (AUH),Islamabad (ISB),EY231,2:47,10:15 PM,11:00 PM,2:20 AM
14-Dec-19,Kuwait City (KWI),Abu Dhabi (AUH),EY304,1:14,4:20 PM,4:31 PM,7:00 PM
14-Dec-19,Abu Dhabi (AUH),Kuwait City (KWI),EY303,1:23,2:25 PM,2:25 PM,3:15 PM
14-Dec-19,Delhi (DEL),Abu Dhabi (AUH),EY229,3:39,8:55 AM,9:04 AM,11:35 AM
14-Dec-19,Abu Dhabi (AUH),Delhi (DEL),EY228,2:49,2:55 AM,3:14 AM,7:50 AM
13-Dec-19,Mumbai (BOM),Abu Dhabi (AUH),EY203,2:51,9:10 PM,9:56 PM,11:10 PM
