airline,code,aircrafts
Express Air,XN / XAR,7
Express Air Cargo,7A / XRC,2
Eznis Airways,MG / EZA,1
FedEx,FX / FDX,702
Fiji Airways,FJ / FJI,17
Finnair,AY / FIN,84
Firefly,FY / FFM,12
First Air,7F / FAB,19
First Nation Airways,FRN,2
FitsAir,8D / EXV,2
Flair Airlines,F8 / FLE,10
Fleet Air International,FRF,7
Flexflight,W2 / FXT,6
Flexjet,LXJ,143
Flight Calibration Services,FCK,2
Flight Calibration Services,VOR,9
Flight options,OPT,70
Flightline,FTL,6
Fltplan,DCM,15
Fly Africa Zimbabwe,ZC / FZW,3
Fly AllWays,8W / EDR,2
Fly Baghdad,IF / FBA,5
Fly Gangwon,4V / FGW,3
Fly Jordan,F0 / FJR,2
Fly One,5F / FIA,5
Fly SAX,B5 / EXZ,2
Fly2Sky,VAW,5
Fly540,5H / FFV,3
Flyadeal,F3 / FAD,14
Flybe,BE / BEE,66
Flybondi,FO / FBZ,5
FlyBosnia,6W / FBS,2
flyCAA,BU / FPY,2
Flycana,DW / DWI,1
FlyDubai,FZ / FDB,60
FlyEgypt,FT / FEG,9
FlyMe,VP / VQI,4
FlyMontserrat,5M / MNT,1
Flynas,XY / KNE,34
FlyPelican,FP / FRE,6
Freebird Airlines,FH / FHY,9
Freight Runners Express,FRG,25
French Bee,BF / FBU,3
Frontier Airlines,F9 / FFT,98
Fuji Dream Airlines,JH / FDA,16
Fuzhou Airlines,FU / FZA,17
Gama Aviation,GAJ,92
Gama Aviation (UK),GMA,32
Garuda Indonesia,GA / GIA,143
Gazpromavia,4G / GZP,49
GCA Airlines,9A / GCA,2
Genex,GNX,3
Genghis Khan Airlines,9D / NMG,2
Georgian Airways,A9 / TGZ,7
GetJet Airlines,GW / GJT,18
Global Aviation Operations,GE / GBB,8
Global Jet Luxembourg,SVW,13
GlobeAir,GAC,20
Go Air,G8 / GOW,58
Go2Sky,6G / RLX,2
GOL Linhas Aereas,G3 / GLO,153
Golden Myanmar Airlines,Y5 / GMR,3
Gowair,G6 / GWR,3
Grand Canyon Airlines,YR / CVU,12
Grand China Air,CN / GDC,4
Grant Aviation,GV / GUN,15
Great Dane Airlines,DW / GDE,3
Great Lakes Aviation,ZK / GLA,31
GTA Air,GTX,10
Gulf Air,GF / GFA,37
GX Airlines,GX / CBG,26
Hahn Air,HR / HHN,4
Hainan Airlines,HU / CHH,243
Hangar 8,HGR,14
Hawaiian Airlines,HA / HAL,68
Hebei Airlines,NS / HBH,28
Heli Air Monaco,YO / MCM,1
Heli Holland,HHE,16
Heli Securite,HS / HLI,1
Heli Service International,HSO,7
Helijet International,JB / JBA,16
Helvetic Airways,2L / OAW,15
Hi Air,4H / HGG,2
Hi Fly,5K / HFY,18
Hibernian Airlines,HG / HBN,2
Himalaya Airlines,H9 / HIM,3
Hinterland Aviation,OI / HND,14
Hokkaido Air System,NTH,4
Holiday Europe,5Q / HES,2
Hong Kong Air Cargo,RH / HKC,5
Hong Kong Airlines,HX / CRK,39
Hong Kong Express,UO / HKE,24
HTM Helicopter Travel Munich,HTM,18
Hunnu Air,MR / MML,6
Hydro Quebec,0Q / HYD,3
I-Fly,I4 / RSY,10
IBC Airways,II / CSQ,14
Iberia,IB / IBE,129
Iberia Express,I2 / IBS,23
