MSN ,TYPE,REGISTRATION,AIRLINE,FIRSTFLIGHT(AGE)
19,A388,9V-SKG,Singapore Airlines,Nov 2008 (11 years)
17,A388,A6-EDE,Emirates,Sep 2008 (11 years)
16,A388,A6-EDC,Emirates,May 2008 (11 years)
15,A388,VH-OQB,Qantas,Jun 2008 (11 years)
14,A388,VH-OQA,Qantas,Jan 2008 (12 years)
13,A388,A6-EDB,Emirates,Apr 2008 (11 years)
12,A388,9V-SKF,Singapore Airlines,Feb 2008 (11 years)
11,A388,A6-EDA,Emirates,Sep 2007 (12 years)
10,A388,9V-SKE,Singapore Airlines,Dec 2007 (12 years)
9,A388,A6-EDJ,Emirates,Aug 2006 (13 years)
8,A388,9V-SKD,Singapore Airlines,Mar 2007 (12 years)
7,A388,A6-EDF,Emirates,Feb 2006 (13 years)
6,A388,9H-MIP,Hi Fly,Nov 2006 (13 years)
5,A388,9V-SKB,Singapore Airlines,Jul 2006 (13 years)
3,A388,9V-SKA,Singapore Airlines,May 2006 (13 years)
2,A388,F-WXXL,Airbus,Nov 2005 (14 years)
1,A388,F-WWOW,Airbus,Apr 2005 (14 years)
